"		瘤痢锅龋",瘤痢疙,老矫,乞闭扁柯(∩),弥绊扁柯(∩),"	弥绊扁柯矫阿",弥历扁柯(∩),弥历扁柯矫阿老背瞒,
"		143",措备,2020-01-01,0.2,4.6,14:19,-4.9,2:10,9.5
"		143",措备,2020-01-02,3.4,7.3,14:27,-1.7,3:27,9
"		143",措备,2020-01-03,3.6,8.6,15:22,-0.8,7:36,9.4
"		143",措备,2020-01-04,2.7,8.6,14:43,-2.3,6:47,10.9
"		143",措备,2020-01-05,2.2,10.2,15:17,-4.3,7:50,14.5
"		143",措备,2020-01-06,1.4,3,23:59,-1.4,1:54,4.4
"		143",措备,2020-01-07,7,15.7,22:40,2.9,0:44,12.8
"		143",措备,2020-01-08,7.9,14.1,0:02,5.4,22:44,8.7
"		143",措备,2020-01-09,3.2,6.5,15:26,1,23:54,5.5
"		143",措备,2020-01-10,2.2,9.2,15:30,-3.6,7:34,12.8
"		143",措备,2020-01-11,3.3,8,15:43,-0.2,8:07,8.2
"		143",措备,2020-01-12,2.7,6.5,14:38,0.2,1:17,6.3
"		143",措备,2020-01-13,2.1,5.5,14:36,-0.6,23:27,6.1
"		143",措备,2020-01-14,1.6,5.8,15:58,-0.9,2:46,6.7
"		143",措备,2020-01-15,0.9,5.2,14:09,-2.8,2:48,8
"		143",措备,2020-01-16,0.3,7.2,15:44,-4.7,5:21,11.9
"		143",措备,2020-01-17,1.4,8,15:42,-2.1,6:37,10.1
"		143",措备,2020-01-18,3.1,8.7,15:57,-1.1,23:42,9.8
"		143",措备,2020-01-19,3.2,9,14:42,-3.2,4:27,12.2
"		143",措备,2020-01-20,4.6,8.1,15:31,2.4,23:39,5.7
"		143",措备,2020-01-21,1.9,7.9,15:20,-2,7:41,9.9
"		143",措备,2020-01-22,2.9,5.7,14:18,0.2,0:04,5.5
"		143",措备,2020-01-23,5,8.6,15:30,2.7,0:01,5.9
"		143",措备,2020-01-24,6.1,11.8,14:42,0.5,7:12,11.3
"		143",措备,2020-01-25,7.2,9.8,14:25,5.4,23:59,4.4
"		143",措备,2020-01-26,6.7,11.2,14:29,1.7,5:37,9.5
"		143",措备,2020-01-27,6.2,8.5,0:27,4.5,21:38,4
"		143",措备,2020-01-28,7.4,11.1,14:36,4.5,0:01,6.6
"		143",措备,2020-01-29,6.2,9.8,14:20,3.6,7:57,6.2
"		143",措备,2020-01-30,5.7,9.3,11:03,3.1,7:55,6.2
"		143",措备,2020-01-31,4.4,8.3,16:20,0.9,24:00:00,7.4
"		143",措备,2020-02-01,2.9,8.1,16:03,-1.8,6:42,9.9
"		143",措备,2020-02-02,3.6,9.5,14:39,-1.7,7:11,11.2
"		143",措备,2020-02-03,3.1,7.5,15:21,0.3,2:16,7.2
"		143",措备,2020-02-04,1.9,7.7,16:35,-4.3,7:41,12
"		143",措备,2020-02-05,-1.5,3.4,1:13,-4.9,23:42,8.3
"		143",措备,2020-02-06,-2.1,3.6,16:43,-7.5,7:26,11.1
"		143",措备,2020-02-07,1.1,7.7,15:00,-4.4,7:48,12.1
"		143",措备,2020-02-08,2.9,7.2,15:04,0.4,23:59,6.8
"		143",措备,2020-02-09,1.9,8,16:17,-4.4,7:14,12.4
"		143",措备,2020-02-10,5.5,12.1,15:56,1.4,0:23,10.7
"		143",措备,2020-02-11,6.1,13.5,14:39,-2.9,7:20,16.4
"		143",措备,2020-02-12,8.1,9.5,15:13,6,7:46,3.5
"		143",措备,2020-02-13,10.4,15.3,15:17,6,23:34,9.3
"		143",措备,2020-02-14,10.7,18.5,16:12,5.2,7:10,13.3
"		143",措备,2020-02-15,12,17.3,13:57,7.4,2:54,9.9
"		143",措备,2020-02-16,5,12.1,0:01,0.1,22:41,12
"		143",措备,2020-02-17,-1.6,1.8,13:15,-4.2,23:41,6
"		143",措备,2020-02-18,-0.2,5.3,15:43,-5.4,5:12,10.7
"		143",措备,2020-02-19,4.7,11.4,15:19,-0.6,7:00,12
"		143",措备,2020-02-20,6.1,14.4,15:15,-0.3,7:29,14.7
"		143",措备,2020-02-21,8.3,16.7,14:22,-0.8,7:07,17.5
"		143",措备,2020-02-22,8.2,12.1,12:33,3.2,23:59,8.9
"		143",措备,2020-02-23,4.9,11.2,15:58,0.6,6:54,10.6
"		143",措备,2020-02-24,8.1,16.4,15:27,-1.2,7:07,17.6
"		143",措备,2020-02-25,7,9.8,0:01,5.7,4:45,4.1
"		143",措备,2020-02-26,8.3,13.5,15:36,5.9,22:44,7.6
"		143",措备,2020-02-27,6.1,9.3,15:29,4.6,6:40,4.7
"		143",措备,2020-02-28,4.5,8.1,13:27,2.3,6:46,5.8
"		143",措备,2020-02-29,6.3,11.8,16:08,2,1:38,9.8
"		143",措备,2020-03-01,9.4,14.7,14:23,3.6,3:09,11.1
"		143",措备,2020-03-02,7.1,11.5,15:52,4.2,7:02,7.3
"		143",措备,2020-03-03,7.7,12.5,16:01,3.7,6:34,8.8
"		143",措备,2020-03-04,5.9,10.6,14:30,1,23:41,9.6
"		143",措备,2020-03-05,3.7,10.4,15:39,-0.7,5:08,11.1
"		143",措备,2020-03-06,5.4,13.9,15:34,-2.9,6:46,16.8
"		143",措备,2020-03-07,5.7,10.2,16:01,1.5,6:49,8.7
"		143",措备,2020-03-08,8.3,16,15:31,1.8,4:37,14.2
"		143",措备,2020-03-09,9.1,15.1,13:57,1.6,6:57,13.5
"		143",措备,2020-03-10,9,10.7,12:05,5.8,23:58,4.9
"		143",措备,2020-03-11,6.4,11.2,14:47,2.9,6:44,8.3
"		143",措备,2020-03-12,8.3,17.1,16:04,-0.9,6:44,18
"		143",措备,2020-03-13,9.4,15.4,15:31,3.8,6:10,11.6
"		143",措备,2020-03-14,6.5,11.5,15:56,1.6,7:43,9.9
"		143",措备,2020-03-15,6.2,12.2,12:37,1.6,5:47,10.6
"		143",措备,2020-03-16,6.4,12.1,16:16,0.8,6:07,11.3
"		143",措备,2020-03-17,10.5,18.6,14:54,1.1,6:03,17.5
"		143",措备,2020-03-18,11.7,19.6,15:38,3.3,6:38,16.3
"		143",措备,2020-03-19,10.8,19.4,10:46,6,5:50,13.4
"		143",措备,2020-03-20,12,18.6,16:53,7,6:30,11.6
"		143",措备,2020-03-21,15,25.4,15:50,5.2,6:18,20.2
"		143",措备,2020-03-22,14.1,21.7,13:38,7.8,23:57,13.9
"		143",措备,2020-03-23,11.5,20.1,15:24,3,6:24,17.1
"		143",措备,2020-03-24,11.2,19,15:11,3.8,6:12,15.2
"		143",措备,2020-03-25,13.1,21.4,16:50,3.6,6:31,17.8
"		143",措备,2020-03-26,13.2,16.9,12:21,9.8,5:47,7.1
"		143",措备,2020-03-27,14.6,19.6,14:20,9.8,23:53,9.8
"		143",措备,2020-03-28,8.2,11.1,13:22,6.2,23:57,4.9
"		143",措备,2020-03-29,8.7,14.4,15:02,3.4,6:16,11
"		143",措备,2020-03-30,11.5,18.3,14:47,6.1,6:07,12.2
"		143",措备,2020-03-31,12.8,21.1,15:08,4.6,6:14,16.5
"		143",措备,2020-04-01,13.9,19.8,15:51,9,23:53,10.8
"		143",措备,2020-04-02,12.6,19,16:12,4.4,6:30,14.6
"		143",措备,2020-04-03,13.5,20.6,17:05,5.3,6:10,15.3
"		143",措备,2020-04-04,10.8,20.2,14:35,5.5,6:35,14.7
"		143",措备,2020-04-05,9.3,16.6,15:58,1.5,6:10,15.1
"		143",措备,2020-04-06,11.3,18.9,16:33,1.3,6:00,17.6
"		143",措备,2020-04-07,15.3,21.7,16:30,8.5,6:18,13.2
"		143",措备,2020-04-08,12.2,18.8,14:25,7.1,23:51,11.7
"		143",措备,2020-04-09,10.3,17.5,16:18,3,5:55,14.5
"		143",措备,2020-04-10,11,15,14:03,8.2,5:01,6.8
"		143",措备,2020-04-11,10.6,15.2,15:53,5.8,5:57,9.4
"		143",措备,2020-04-12,9.2,13,15:30,7.6,24:00:00,5.4
"		143",措备,2020-04-13,10.2,16.7,16:23,6.4,23:47,10.3
"		143",措备,2020-04-14,14.6,23.9,15:29,2.4,6:07,21.5
"		143",措备,2020-04-15,14.5,23.1,16:08,6.6,5:22,16.5
"		143",措备,2020-04-16,12.8,18.1,14:31,9,5:17,9.1
"		143",措备,2020-04-17,10.7,12.9,16:13,8.6,10:21,4.3
"		143",措备,2020-04-18,14,19.9,16:37,10.3,6:26,9.6
"		143",措备,2020-04-19,11.1,13.9,12:00,9.6,23:46,4.3
"		143",措备,2020-04-20,13.6,19.8,14:50,9.6,2:46,10.2
"		143",措备,2020-04-21,11.4,17.3,12:48,6.2,23:42,11.1
"		143",措备,2020-04-22,8.5,14.4,13:47,4.8,5:10,9.6
"		143",措备,2020-04-23,9.9,16,15:04,4.9,3:32,11.1
"		143",措备,2020-04-24,11.8,18.4,14:15,4.2,5:45,14.2
"		143",措备,2020-04-25,15.9,24.1,14:31,5.7,5:02,18.4
"		143",措备,2020-04-26,13.6,19.8,16:35,9.4,23:47,10.4
"		143",措备,2020-04-27,12.9,20,15:56,5.4,5:34,14.6
"		143",措备,2020-04-28,15.2,22.6,16:00,6.2,5:35,16.4
"		143",措备,2020-04-29,17.6,26.1,16:40,7.5,5:30,18.6
"		143",措备,2020-04-30,18.9,28,16:31,10.2,5:39,17.8
"		143",措备,2020-05-01,22.7,31.3,15:38,14.3,5:22,17
"		143",措备,2020-05-02,22.7,29.7,14:51,17.6,6:19,12.1
"		143",措备,2020-05-03,17.9,20.3,0:01,16.4,4:07,3.9
"		143",措备,2020-05-04,21.5,29.7,15:13,14.7,23:52,15
"		143",措备,2020-05-05,16.8,21.2,12:04,14.4,2:52,6.8
"		143",措备,2020-05-06,17.5,26.1,13:08,13.3,5:50,12.8
"		143",措备,2020-05-07,15.8,21.9,12:18,9.8,5:33,12.1
"		143",措备,2020-05-08,17.6,25.6,13:40,9.1,5:24,16.5
"		143",措备,2020-05-09,17,19,18:14,14.6,3:10,4.4
"		143",措备,2020-05-10,18.9,23.9,14:13,16.3,4:13,7.6
"		143",措备,2020-05-11,21.1,28.6,13:42,12.9,5:43,15.7
"		143",措备,2020-05-12,20.2,26.5,13:53,14.8,23:59,11.7
"		143",措备,2020-05-13,18.6,25.5,15:09,10.8,5:49,14.7
"		143",措备,2020-05-14,19.9,28.3,16:20,11,5:25,17.3
"		143",措备,2020-05-15,16.5,19.8,0:09,14.8,22:37,5
"		143",措备,2020-05-16,19.3,26.6,16:23,14.8,0:01,11.8
"		143",措备,2020-05-17,22,29,15:40,16.2,5:16,12.8
"		143",措备,2020-05-18,19.8,23.5,13:53,17.2,23:11,6.3
"		143",措备,2020-05-19,15.5,19.4,12:42,12.8,5:51,6.6
"		143",措备,2020-05-20,15.6,22.4,15:08,10.5,5:02,11.9
"		143",措备,2020-05-21,16.2,24,14:43,11.6,4:54,12.4
"		143",措备,2020-05-22,17.1,23.2,16:58,12.6,1:17,10.6
"		143",措备,2020-05-23,20.1,28.6,17:39,11.7,5:43,16.9
"		143",措备,2020-05-24,21.6,27.4,12:27,16.4,3:32,11
"		143",措备,2020-05-25,21.4,26.3,14:46,16,5:37,10.3
"		143",措备,2020-05-26,21.6,27.6,15:33,15.9,5:35,11.7
"		143",措备,2020-05-27,21.4,27.3,15:52,17.3,23:53,10
"		143",措备,2020-05-28,21,28.6,14:23,13.7,5:13,14.9
"		143",措备,2020-05-29,21.1,28.9,14:11,13.5,4:54,15.4
"		143",措备,2020-05-30,21.7,28.4,15:32,14.2,5:12,14.2
"		143",措备,2020-05-31,22.3,28.9,13:23,15.6,5:22,13.3
"		143",措备,2020-06-01,23.6,29.1,14:36,19.9,24:00:00,9.2
"		143",措备,2020-06-02,22.5,29.3,13:46,15,5:07,14.3
"		143",措备,2020-06-03,24.1,31.1,15:52,17.2,5:11,13.9
"		143",措备,2020-06-04,27.7,35.3,17:12,19.6,5:42,15.7
"		143",措备,2020-06-05,25.9,34.6,15:50,19.8,23:57,14.8
"		143",措备,2020-06-06,21.2,26.3,14:11,18.4,23:50,7.9
"		143",措备,2020-06-07,23.5,31.3,14:45,16.2,4:20,15.1
"		143",措备,2020-06-08,26.9,35.6,15:50,17.4,5:16,18.2
"		143",措备,2020-06-09,28.7,37,15:57,21,4:36,16
"		143",措备,2020-06-10,28.1,36.1,14:56,21.3,5:22,14.8
"		143",措备,2020-06-11,25.5,31.7,17:08,20.6,3:38,11.1
"		143",措备,2020-06-12,25.6,30.9,12:47,19.7,23:55,11.2
"		143",措备,2020-06-13,24.6,29.5,14:04,19.7,0:01,9.8
"		143",措备,2020-06-14,25.5,30.5,17:03,23.1,4:15,7.4
"		143",措备,2020-06-15,25.9,31.8,16:06,19.9,5:23,11.9
"		143",措备,2020-06-16,24.8,31.3,16:01,18.9,5:38,12.4
"		143",措备,2020-06-17,23.3,27.7,13:44,18.3,5:10,9.4
"		143",措备,2020-06-18,19.2,23.1,0:09,17.8,21:46,5.3
"		143",措备,2020-06-19,22,28.7,14:16,17.9,0:01,10.8
"		143",措备,2020-06-20,23.2,28.8,16:21,20,2:26,8.8
"		143",措备,2020-06-21,22.2,27.2,16:08,17.7,4:58,9.5
"		143",措备,2020-06-22,25.3,33.5,16:56,16.2,5:06,17.3
"		143",措备,2020-06-23,26.3,34,15:06,19.4,5:24,14.6
"		143",措备,2020-06-24,22.2,24.5,10:41,20.1,23:41,4.4
"		143",措备,2020-06-25,23.8,26.9,11:58,20.1,0:01,6.8
"		143",措备,2020-06-26,25.5,30.7,16:20,21.7,6:36,9
"		143",措备,2020-06-27,26.1,31.3,15:17,20.9,4:31,10.4
"		143",措备,2020-06-28,26.1,32,17:42,21.4,4:48,10.6
"		143",措备,2020-06-29,22.1,26.8,13:46,19.8,21:13,7
"		143",措备,2020-06-30,23.5,28.2,13:26,19.3,22:47,8.9
"		143",措备,2020-07-01,22.2,26.3,14:24,19.1,5:10,7.2
"		143",措备,2020-07-02,23.6,28.8,14:42,18.3,5:29,10.5
"		143",措备,2020-07-03,20.7,22.6,14:45,18,23:21,4.6
"		143",措备,2020-07-04,21.2,24.2,13:24,17.9,0:14,6.3
"		143",措备,2020-07-05,23.7,28.6,15:07,19.8,4:29,8.8
"		143",措备,2020-07-06,24.1,28.1,13:17,19.9,3:49,8.2
"		143",措备,2020-07-07,26.5,32.4,14:01,23.1,5:13,9.3
"		143",措备,2020-07-08,26.2,31,15:24,22.3,6:01,8.7
"		143",措备,2020-07-09,24.4,29.7,14:39,20.8,5:27,8.9
"		143",措备,2020-07-10,24,28.4,16:30,21,5:43,7.4
"		143",措备,2020-07-11,25.5,31.3,13:43,21.6,23:31,9.7
"		143",措备,2020-07-12,20.4,21.9,11:52,18.1,23:24,3.8
"		143",措备,2020-07-13,19.2,21,16:06,18.2,1:15,2.8
"		143",措备,2020-07-14,19.6,21.5,11:45,18.4,5:44,3.1
"		143",措备,2020-07-15,19.2,22.9,16:28,17.5,5:01,5.4
"		143",措备,2020-07-16,22.2,28.8,15:32,16.8,5:37,12
"		143",措备,2020-07-17,22.7,28.8,15:34,17.3,5:33,11.5
"		143",措备,2020-07-18,22.4,27.6,16:33,16.8,4:46,10.8
"		143",措备,2020-07-19,24.3,28,22:26,20.5,3:49,7.5
"		143",措备,2020-07-20,29.1,32.8,15:49,25.9,23:59,6.9
"		143",措备,2020-07-21,26.9,31.8,15:03,22.8,1:39,9
"		143",措备,2020-07-22,22.5,25.1,0:01,21.5,7:30,3.6
"		143",措备,2020-07-23,21.7,22.5,0:01,21,22:28,1.5
"		143",措备,2020-07-24,21.3,23,8:29,20.2,23:32,2.8
"		143",措备,2020-07-25,21.9,24.8,13:42,20.1,1:34,4.7
"		143",措备,2020-07-26,25,30.2,15:35,21.3,3:40,8.9
"		143",措备,2020-07-27,22.6,24.6,11:20,21.3,21:47,3.3
"		143",措备,2020-07-28,22.3,24.2,14:56,21.3,5:31,2.9
"		143",措备,2020-07-29,23.1,24.7,17:42,21.6,2:10,3.1
"		143",措备,2020-07-30,23.1,25,15:44,21.2,11:03,3.8
"		143",措备,2020-07-31,26.1,31.5,15:35,21.9,1:21,9.6
"		143",措备,2020-08-01,27.7,34.1,14:12,23.9,5:59,10.2
"		143",措备,2020-08-02,28.6,33.4,13:41,24.6,5:02,8.8
"		143",措备,2020-08-03,29.1,33,11:25,25.7,5:53,7.3
"		143",措备,2020-08-04,29.3,34.4,13:03,24.9,4:50,9.5
"		143",措备,2020-08-05,28.9,33,13:16,25.4,5:46,7.6
"		143",措备,2020-08-06,28.5,31.2,17:24,25.8,12:00,5.4
"		143",措备,2020-08-07,24.6,27.1,0:01,22.5,13:03,4.6
"		143",措备,2020-08-08,23.7,25,16:16,22.9,1:51,2.1
"		143",措备,2020-08-09,28.3,33.4,14:17,23.9,0:02,9.5
"		143",措备,2020-08-10,26.1,30.6,11:09,24.2,20:33,6.4
